
城市编号,0
城市坐标,1304,2312
与城市与城市0距离,0
与城市1距离,3332
与城市2距离,2941
与城市3距离,3321
与城市4距离,2961
与城市5距离,2778
与城市6距离,3017
与城市7距离,4200
与城市8距离,4530
与城市9距离,4824
与城市10距离,2045
与城市11距离,1814
与城市12距离,2305
与城市13距离,1713
与城市14距离,1645
城市编号,1
城市坐标,3639,1315
与城市与城市0距离,3332
与城市1距离,0
与城市2距离,1467
与城市3距离,157
与城市4距离,371
与城市5距离,554
与城市6距离,487
与城市7距离,868
与城市8距离,1198
与城市9距离,1492
与城市10距离,1287
与城市11距离,1518
与城市12距离,1027
与城市13距离,1619
与城市14距离,2927
城市编号,2
城市坐标,4177,2244
与城市与城市0距离,2941
与城市1距离,1467
与城市2距离,0
与城市3距离,1310
与城市4距离,1398
与城市5距离,1539
与城市6距离,1954
与城市7距离,1259
与城市8距离,1589
与城市9距离,1883
与城市10距离,1444
与城市11距离,2103
与城市12距离,2142
与城市13距离,2364
与城市14距离,4394
城市编号,3
城市坐标,3712,1399
与城市与城市0距离,3321
与城市1距离,157
与城市2距离,1310
与城市3距离,0
与城市4距离,360
与城市5距离,543
与城市6距离,644
与城市7距离,879
与城市8距离,1209
与城市9距离,1503
与城市10距离,1276
与城市11距离,1507
与城市12距离,1016
与城市13距离,1608
与城市14距离,3084
城市编号,4
城市坐标,3488,1535
与城市与城市0距离,2961
与城市1距离,371
与城市2距离,1398
与城市3距离,360
与城市4距离,0
与城市5距离,183
与城市6距离,556
与城市7距离,1239
与城市8距离,1569
与城市9距离,1863
与城市10距离,916
与城市11距离,1147
与城市12距离,744
与城市13距离,1248
与城市14距离,2996
城市编号,5
城市坐标,3326,1556
与城市与城市0距离,2778
与城市1距离,554
与城市2距离,1539
与城市3距离,543
与城市4距离,183
与城市5距离,0
与城市6距离,415
与城市7距离,1422
与城市8距离,1752
与城市9距离,2046
与城市10距离,733
与城市11距离,964
与城市12距离,603
与城市13距离,1065
与城市14距离,2855
城市编号,6
城市坐标,3238,1229
与城市与城市0距离,3017
与城市1距离,487
与城市2距离,1954
与城市3距离,644
与城市4距离,556
与城市5距离,415
与城市6距离,0
与城市7距离,1183
与城市8距离,1513
与城市9距离,1807
与城市10距离,972
与城市11距离,1203
与城市12距离,712
与城市13距离,1304
与城市14距离,2440
城市编号,7
城市坐标,4196,1004
与城市与城市0距离,4200
与城市1距离,868
与城市2距离,1259
与城市3距离,879
与城市4距离,1239
与城市5距离,1422
与城市6距离,1183
与城市7距离,0
与城市8距离,330
与城市9距离,624
与城市10距离,2155
与城市11距离,2386
与城市12距离,1895
与城市13距离,2487
与城市14距离,3173
城市编号,8
城市坐标,4312,790
与城市与城市0距离,4530
与城市1距离,1198
与城市2距离,1589
与城市3距离,1209
与城市4距离,1569
与城市5距离,1752
与城市6距离,1513
与城市7距离,330
与城市8距离,0
与城市9距离,294
与城市10距离,2485
与城市11距离,2716
与城市12距离,2225
与城市13距离,2817
与城市14距离,3075
城市编号,9
城市坐标,4386,570
与城市与城市0距离,4824
与城市1距离,1492
与城市2距离,1883
与城市3距离,1503
与城市4距离,1863
与城市5距离,2046
与城市6距离,1807
与城市7距离,624
与城市8距离,294
与城市9距离,0
与城市10距离,2779
与城市11距离,3010
与城市12距离,2519
与城市13距离,3111
与城市14距离,3179
城市编号,10
城市坐标,3007,1970
与城市与城市0距离,2045
与城市1距离,1287
与城市2距离,1444
与城市3距离,1276
与城市4距离,916
与城市5距离,733
与城市6距离,972
与城市7距离,2155
与城市8距离,2485
与城市9距离,2779
与城市10距离,0
与城市11距离,659
与城市12距离,698
与城市13距离,920
与城市14距离,2950
城市编号,11
城市坐标,2562,1756
与城市与城市0距离,1814
与城市1距离,1518
与城市2距离,2103
与城市3距离,1507
与城市4距离,1147
与城市5距离,964
与城市6距离,1203
与城市7距离,2386
与城市8距离,2716
与城市9距离,3010
与城市10距离,659
与城市11距离,0
与城市12距离,491
与城市13距离,261
与城市14距离,2291
城市编号,12
城市坐标,2788,1491
与城市与城市0距离,2305
与城市1距离,1027
与城市2距离,2142
与城市3距离,1016
与城市4距离,744
与城市5距离,603
与城市6距离,712
与城市7距离,1895
与城市8距离,2225
与城市9距离,2519
与城市10距离,698
与城市11距离,491
与城市12距离,0
与城市13距离,592
与城市14距离,2252
城市编号,13
城市坐标,2381,1676
与城市与城市0距离,1713
与城市1距离,1619
与城市2距离,2364
与城市3距离,1608
与城市4距离,1248
与城市5距离,1065
与城市6距离,1304
与城市7距离,2487
与城市8距离,2817
与城市9距离,3111
与城市10距离,920
与城市11距离,261
与城市12距离,592
与城市13距离,0
与城市14距离,2030
城市编号,14
城市坐标,1332,695
与城市与城市0距离,1645
与城市1距离,2927
与城市2距离,4394
与城市3距离,3084
与城市4距离,2996
与城市5距离,2855
与城市6距离,2440
与城市7距离,3173
与城市8距离,3075
与城市9距离,3179
与城市10距离,2950
与城市11距离,2291
与城市12距离,2252
与城市13距离,2030
与城市14距离,0
